statuses,date_joined,most_recent_post,following,followers,favourites,lists,tweets_this_week,retweet,retweeted_count,userNameScore,avg_tweets_by_day_of_week,engagment_rate,screen_name,account_type
23363,2010,2023,8303.0,323889.0,6238,839,22.0,38.0,37704.0,0.7647058823529411,28.571,11.64,hollywoodrecs,1.0
5665,2010,2023,302.0,2729.0,9160,10,1.0,0.0,0.0,0.5714285714285714,28.571,0.0,itsryanrandall,1.0
8768,2010,2023,1339.0,557.0,4309,12,0.0,6.0,39.0,0.9230769230769232,28.571,7.0,megmcguriman,1.0
2697,2010,2023,32.0,2957401.0,201,7901,5.0,0.0,10036.0,0.5,28.571,0.34,theslystallone,1.0
25945,2010,2023,1923.0,3208.0,27962,69,27.0,36.0,21075.0,0.5833333333333333,28.429,656.95,ryanghinds,1.0
5318,2010,2023,151.0,8873.0,781,127,2.0,0.0,1338.0,0.1333333333333333,28.571,15.08,georgeshobeika,1.0
107233,2010,2023,4402.0,4554.0,66275,448,4.0,86.0,219963.0,0.0,28.429,4830.11,foulksd,1.0
27282,2010,2023,1517.0,2041897.0,33179,2324,1.0,38.0,946.0,0.5,28.429,0.05,marisolglzz,1.0
23357,2010,2023,494.0,389.0,15175,1,3.0,58.0,973344.0,0.0,27.857,250216.97,carlyllambert,1.0
42769,2010,2023,144737.0,114581.0,33438,377,137.0,0.0,1.0,0.0,28.571,0.0,haeundo,0.0
19502,2010,2023,476.0,80948.0,13267,558,11.0,4.0,432935.0,0.9166666666666666,28.571,534.83,aarondenius,1.0
8459,2010,2023,33.0,7210472.0,2512,32869,4.0,192.0,59284.0,0.6363636363636364,28.571,0.82,siwonchoi,1.0
41883,2010,2023,520.0,118044.0,3562,43,6.0,62.0,21173.0,0.6153846153846154,28.571,17.94,angelcastrotv,1.0
15993,2010,2023,2061.0,800.0,118929,17,0.0,50.0,794569.0,0.1578947368421053,28.429,99321.12,mjrodriguez78,1.0
16121,2010,2023,32.0,730330.0,8559,1255,5.0,0.0,14167.0,0.8666666666666667,28.571,1.94,aguinaldaosilva,1.0
9237,2010,2023,1148.0,9514.0,13431,194,13.0,134.0,186080.0,0.4,28.571,1955.85,jimruggart,1.0
9969,2010,2023,1728.0,5157999.0,4139,22416,22.0,82.0,34007.0,0.9090909090909092,27.857,0.66,kevinjonas,1.0
34287,2010,2023,876.0,744.0,41243,66,13.0,44.0,136280.0,0.5714285714285714,28.143,18317.2,karynouuu,1.0
7304,2010,2023,449.0,554.0,8376,1,0.0,86.0,1480836.0,0.75,26.0,267298.92,lewywilcox,1.0
17720,2010,2023,528.0,2583770.0,5231,11434,62.0,132.0,43651.0,0.0,28.571,1.69,motohage,1.0
99326,2010,2023,103.0,101402.0,1422,438,60.0,20.0,7548.0,0.1333333333333333,28.571,7.44,dmforounivision,0.0
