Id	IsAccountPrivate	IsVerified	HasProfilePicture	AnzahlFolgeIch	AnzahlFollower	AnzahlLikes	HasInstagramLink	HasYoutubeLink	HasAccountDescription	HasLinkInDescription	LinkInDescription	PostsExist	AnzahlPosts	AreLikedVideosPrivate	NumberOfLikedVideos	VerhaeltnisFolgeIchProFollower	VerhaeltnisLikesProFollower	AverageNumberOfHashtags	AverageNumberOfComments	AverageNumberOfCharacters	AverageNumberOfForwardings	AverageNumberOfLikes	AverageNumberOfLinkedProfiles	AverageNumberOfUsedFilters	LikedAverageNumberOfHashtags	LikedAverageNumberOfComments	LikedAverageNumberOfCharacters	LikedAverageNumberOfForwardings	LikedAverageNumberOfLikes	LikedAverageNumberOfLinkedProfiles	LikedAverageNumberOfUsedFilters	AverageNumberOfViews	LikedAverageNumberOfViews	VerhaeltnisLikesProAufruf	VerhaeltnisCommentsProAufruf	IsABot
E59AF949-B866-4AF9-A8E8-0157322E65CC	False	False	False	2771	46	9	False	False	False	False		True	4	True	0	60.23913043478261	0.1956521739130435	0.25	0.0	2.75	0.0	2.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.28125	0.0	
A843B586-EA06-4233-A8C1-01604C4F7F08	False	False	True	48	24500	807400	True	False	True	False		True	20	True	0	0.0019591836734693877	32.95510204081633	7.35	28.8	100.95	29.55	1335.25	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5658.3	0.0	0.23598077160984748	0.005089867981549229	False
2AC3372D-15A6-4C6E-9DB2-01652A96C9B7	False	False	True	3519	121	0	False	False	False	False		False	0	True	0	29.082644628099175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0F366009-5901-4363-8CE1-0166BDB033DC	True	False	True	831	35	0	False	False	False	False		False	0	True	0	23.742857142857144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
ACC783E2-B46E-4ECD-A807-0167DC312375	False	False	True	1131	21	0	False	False	False	False		False	0	False	20	53.857142857142854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6	11.55	58.9	14.15	449.9	0.15	0.3	0.0	5528.75	0.0	0.0	True
01EE3565-61FB-49E2-8436-016B49A886D8	False	False	True	1460	418	3117	False	False	True	False		True	20	True	0	3.492822966507177	7.456937799043062	0.2	1.25	28.7	0.1	19.75	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	162.9	0.0	0.12124002455494168	0.00767341927562922	False
42DB2865-4F24-41CC-B60D-0174C4250B9D	False	False	False	0	0	0	False	False	True	False		False	0	True	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True
5099092C-426F-405F-B195-017765F1F6B2	False	False	True	37	0	0	False	False	False	False		False	0	True	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
D6B2FE7D-EC5E-4A2B-A6BF-017BB9443A7F	False	False	True	155	220	1589	False	False	False	False		True	20	True	0	0.7045454545454546	7.222727272727273	0.3	0.5	7.45	0.0	5.3	0.3	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.35	0.0	0.10961737331954498	0.010341261633919338	
685FE34C-3D06-4D7F-90BD-017C4A6F17EB	False	False	True	15	1766	63100	True	False	True	False		True	20	True	0	0.008493771234428085	35.73046432616081	1.9	7.4	86.9	5.35	1384.35	0.45	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21870.1	0.0	0.06329875034864953	0.0003383615072633413	False
B806584A-090F-4B3D-814C-018731331AC3	False	False	True	3249	227	6	False	False	False	False		True	1	False	9	14.312775330396477	0.02643171806167401	0.0	0.0	0.0	0.0	6.0	0.0	0.0	4.0	2.2222222222222223	49.22222222222222	1.6666666666666667	203.77777777777777	0.3333333333333333	0.1111111111111111	32.0	2100.0	0.1875	0.0	True
7E8D607F-FAF8-4DDF-AC36-0188321FA934	False	False	True	365	17	506	False	False	False	False		True	20	True	0	21.470588235294116	29.764705882352942	0.8	0.25	20.2	0.25	1.4	0.25	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.4	0.0	0.07608695652173914	0.013586956521739132	
F2D1A7FE-9A54-45CB-8D13-018A3F3C8CAA	False	False	True	144	5	4	False	False	False	False		True	9	True	0	28.8	0.8	0.7777777777777778	0.1111111111111111	12.0	0.0	0.4444444444444444	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.4444444444444444	0.1111111111111111	
6CA6475E-2137-465A-9210-0192BF1569F2	False	False	True	22	8	0	False	False	True	False		False	0	True	0	2.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
