IsVerified,HasProfilePicture,following,follower,HasAccountDescription,likes,posts,AverageNumberOfHashtags,AverageNumberOfComments,AverageNumberOfShare,AverageNumberOfLikes,AverageNumberOfLinkedProfiles,AverageNumberOfViews,avg_videos_by_day_of_week,IsABot
0.0,0.0,77.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,87.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,402.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,79.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,643.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,210.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,270.0,29.0,1.0,15.0,5.0,0.0,0.0,0.0,3.0,0.0,33.6,0.71,-1.0
0.0,0.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,560.0,70.0,1.0,489.0,20.0,2.7,0.0,0.0,1.95,0.0,18.3,2.86,-1.0
0.0,1.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,186.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14,-1.0
0.0,1.0,2504.0,473.0,1.0,12600.0,20.0,0.35,1.05,0.3,22.0,0.45,134.9,2.86,-1.0
0.0,0.0,174.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,1258.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,3.0,14.0,0.0,77.0,6.0,0.0,0.5,0.0,12.83,0.0,193.5,0.86,-1.0
0.0,1.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,5132.0,2738.0,1.0,17200.0,20.0,0.35,1.25,0.05,42.4,0.15,228.55,2.86,-1.0
0.0,1.0,7110.0,156.0,1.0,395.0,20.0,1.2,0.3,0.0,2.0,0.4,9.55,2.86,-1.0
0.0,1.0,4791.0,136.0,1.0,1324.0,20.0,0.4,0.5,0.0,8.35,0.15,53.05,2.86,-1.0
0.0,1.0,137.0,28.0,0.0,106.0,20.0,0.45,0.65,0.2,5.0,0.25,152.9,2.86,-1.0
0.0,1.0,342.0,58.0,0.0,703.0,12.0,2.25,1.17,0.08,6.5,0.0,124.58,1.71,0.0
0.0,1.0,123.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,237.0,4.0,1.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.67,0.43,-1.0
0.0,1.0,1878.0,23.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,37.0,32.0,0.0,680.0,20.0,1.45,0.1,0.0,6.6,0.15,65.15,2.86,0.0
0.0,1.0,780.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,1280.0,51.0,0.0,14.0,1.0,3.0,9.0,0.0,14.0,0.0,99.0,0.14,0.0
0.0,1.0,8691.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,1231.0,22.0,1.0,35.0,20.0,0.05,0.0,0.0,1.65,0.05,3.4,2.86,-1.0
0.0,1.0,900.0,16.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,80.0,24.0,0.0,123.0,20.0,4.8,0.0,0.0,2.6,0.35,68.4,2.86,-1.0
0.0,1.0,247.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,7475.0,1024.0,1.0,1204.0,20.0,5.35,0.65,0.0,39.15,1.0,167.55,2.86,-1.0
0.0,1.0,305.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,19.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29,-1.0
0.0,1.0,1659.0,170.0,1.0,558.0,20.0,0.0,0.1,0.0,0.2,0.0,6.3,2.86,-1.0
0.0,1.0,712.0,57.0,1.0,287.0,20.0,0.1,0.0,0.0,2.55,0.0,28.35,2.86,-1.0
0.0,1.0,215.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,731.0,13.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,409.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,38.0,2.0,1.0,15.0,3.0,0.0,0.67,0.0,5.0,0.0,38.33,0.43,-1.0
0.0,1.0,839.0,601.0,1.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,56.0,9.0,1.0,54.0,20.0,0.05,0.05,0.0,1.7,0.0,15.2,2.86,-1.0
0.0,1.0,10000.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,10.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.14,-1.0
0.0,1.0,1654.0,119.0,1.0,128.0,8.0,1.62,3.0,0.12,13.25,0.0,352.5,1.14,-1.0
0.0,1.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,121.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,5887.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,204.0,830.0,1.0,9702.0,20.0,10.7,7.8,37.15,259.45,0.2,5910.5,2.86,0.0
0.0,1.0,4941.0,245.0,1.0,2517.0,20.0,2.35,0.3,0.0,3.15,0.1,19.9,2.86,-1.0
0.0,1.0,100.0,11.0,1.0,42.0,20.0,0.25,0.0,0.0,1.85,0.15,34.05,2.86,-1.0
0.0,1.0,154.0,36.0,0.0,309.0,20.0,0.05,0.0,0.0,1.9,0.05,30.35,2.86,-1.0
0.0,1.0,483.0,23.0,1.0,77.0,20.0,2.0,0.05,0.05,3.85,0.1,13.65,2.86,-1.0
0.0,1.0,394.0,30.0,1.0,75.0,20.0,1.85,0.1,0.0,1.0,0.8,3.9,2.86,-1.0
0.0,1.0,9143.0,2241.0,1.0,7607.0,20.0,0.3,5.25,0.2,30.5,0.7,272.9,2.86,-1.0
0.0,1.0,121.0,19.0,0.0,5.0,8.0,0.0,0.0,0.0,0.62,0.0,10.38,1.14,-1.0
0.0,1.0,106.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,3415.0,63.0,0.0,6.0,4.0,0.0,0.25,0.0,1.5,0.0,5.5,0.57,-1.0
0.0,1.0,877.0,37.0,0.0,80.0,20.0,0.4,0.45,0.0,3.6,0.35,26.05,2.86,-1.0
0.0,1.0,34.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,1.5,0.0,33.0,0.29,-1.0
0.0,1.0,13.0,12.0,1.0,78.0,9.0,4.22,0.44,0.11,8.0,0.11,134.22,1.29,-1.0
0.0,1.0,11.0,8.0,0.0,29.0,11.0,0.27,0.0,0.0,2.55,0.09,92.55,1.57,-1.0
0.0,1.0,125.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,1248.0,43.0,1.0,63.0,20.0,0.15,1.2,0.0,1.6,0.1,16.5,2.86,-1.0
0.0,1.0,62.0,5.0,1.0,7.0,7.0,0.14,0.43,0.0,1.0,0.0,4.71,1.0,-1.0
0.0,1.0,138.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,37.0,29.0,0.0,87.0,20.0,0.0,0.0,0.0,0.7,0.0,17.25,2.86,-1.0
0.0,1.0,216.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,260.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,4565.0,100.0,1.0,33.0,5.0,0.0,0.2,0.0,6.6,0.0,50.8,0.71,-1.0
0.0,0.0,57.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,1.0,138.0,11.0,0.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,45.0,0.14,-1.0
