,verified,statuses,location,date_joined,most_recent_post,following,followers,favourites,lists,tweet_language,tweets_this_week,retweet,retweeted_count,url,userNameScore,avg_tweets_by_hour_of_day,avg_tweets_by_day_of_week,screen_name,account_type,following/years,followers/lastpost
82,0,4122,1,2008,2022,962.0,576.0,1309,130,26,0.0,178.0,49274.0,1,0.9090909090909092,8.25,28.286,anupam_gaur,1,3046.418252390419,411619.76978417265
83,0,436,0,2017,2022,186.0,236.0,476,0,1,0.0,50.0,364.0,0,0.3076923076923077,8.292,28.429,ArbogastCSBO,1,3822.418252390419,411959.76978417265
84,0,1283,1,2013,2022,643.0,783.0,679,0,1,0.0,22.0,382085.0,0,0.0999999999999999,8.0,27.429,MrsMager24,1,3365.418252390419,411412.76978417265
85,0,189666,1,2012,2022,19.0,571.0,109107,200,6,0.0,188.0,181695.0,0,0.5833333333333333,8.125,27.857,johnwrght473,1,3989.418252390419,411624.76978417265
86,0,24410,0,2008,2022,1896.0,913.0,7116,28,1,0.0,24.0,446735.0,0,0.0,8.167,28.0,goosebucket,1,2112.418252390419,411282.76978417265
87,0,1464,0,2009,2022,186.0,156.0,1407,4,1,0.0,76.0,997071.0,0,0.25,8.292,28.429,msauger,1,3822.418252390419,412039.76978417265
88,0,652,1,2017,2022,27.0,5.0,369,1,1,0.0,116.0,1954101.0,0,0.0,6.833,23.429,artdec08,1,3981.418252390419,412190.76978417265
89,0,2435,1,2010,2022,785.0,138.0,25436,2,1,0.0,18.0,79914.0,1,0.1428571428571429,8.333,28.571,boricua4morena,1,3223.418252390419,412057.76978417265
90,0,25938,1,2009,2022,85.0,186873.0,167,2743,1,0.0,18.0,2896.0,1,0.9090909090909092,8.333,28.571,GaelGreene,1,3923.418252390419,225322.76978417265
91,0,558,1,2014,2022,120.0,79.0,146,0,1,0.0,72.0,1288035.0,0,0.3571428571428571,4.167,14.286,ArcinX44,1,3888.418252390419,412116.76978417265
92,0,24048,1,2012,2022,1196.0,644.0,41973,4,1,0.0,142.0,1353788.0,0,0.0,8.167,28.0,lionjr97,1,2812.418252390419,411551.76978417265
93,1,86,1,2009,2022,248.0,23870.0,152,0,1,0.0,60.0,827.0,1,0.5333333333333333,3.083,10.571,lauraellenjames,1,3760.418252390419,388325.76978417265
94,1,238,0,2011,2022,67.0,739282.0,0,2916,1,0.0,18.0,175253.0,0,0.3333333333333333,8.333,28.571,88PKane,1,3941.418252390419,-327086.23021582735
95,0,991,1,2011,2022,1748.0,1964.0,1769,4,1,0.0,28.0,631801.0,1,0.375,8.292,28.429,chamiele,1,2260.418252390419,410231.76978417265
96,0,8841,0,2012,2021,408.0,120.0,7999,0,16,0.0,148.0,299458.0,1,0.2857142857142857,8.292,28.429,Shar_FedeRossi,1,3600.418252390419,412075.76978417265
97,0,42766,1,2009,2022,1279.0,22336.0,77343,339,1,0.0,54.0,12516.0,0,0.6,8.333,28.571,CatoJune,1,2729.418252390419,389859.76978417265
98,0,13601,1,2010,2021,126.0,501.0,1241,5,1,0.0,20.0,382884.0,1,0.5,8.25,28.286,NessaAli99,1,3882.418252390419,411694.76978417265
99,0,1989,0,2009,2022,396.0,52.0,39127,1,1,0.0,34.0,412620.0,0,0.3846153846153846,8.333,28.571,Court_42,1,3612.418252390419,412143.76978417265
100,1,46548,1,2009,2022,1097.0,712719.0,3055,1442,10,0.0,8.0,16610.0,1,0.8,8.292,28.429,maickelmelamed,1,2911.418252390419,-300523.23021582735
101,0,551,1,2011,2021,377.0,180.0,34,3,1,0.0,6.0,784.0,1,0.9333333333333332,8.333,28.571,AssuredNursing,1,3631.418252390419,412015.76978417265
102,0,50392,1,2011,2021,2421.0,1461.0,81823,11,1,0.0,104.0,839949.0,0,0.2142857142857143,7.833,26.857,Natasha934,1,1587.4182523904192,410734.76978417265
103,0,19353,1,2011,2022,0.0,990.0,7782,0,1,0.0,48.0,1083429.0,0,0.4666666666666667,7.708,26.429,CallieKayeReece,1,4008.418252390419,411205.76978417265
104,0,443,1,2017,2021,279.0,26.0,853,0,1,0.0,76.0,1074007.0,1,0.0714285714285714,7.833,26.857,a_idowhatiwant,1,3729.418252390419,412169.76978417265
105,1,108,0,2015,2022,0.0,1187129.0,5,181,1,0.0,0.0,7199.0,1,0.75,4.5,15.429,adrienbrody,1,4008.418252390419,-774933.2302158274
106,0,3226,1,2010,2021,129.0,53957.0,774,197,1,0.0,2.0,669.0,1,0.5,8.292,28.429,the_karenhardy,1,3879.418252390419,358238.76978417265
107,1,10729,1,2009,2022,5973.0,130731.0,20321,2039,1,0.0,86.0,1408492.0,1,0.9333333333333332,8.333,28.571,MorganSpurlock,1,-1964.5817476095808,281464.76978417265
108,0,191,1,2016,2022,62.0,3.0,1705,0,1,0.0,46.0,205177.0,0,0.2142857142857143,7.583,26.0,Judester920,1,3946.418252390419,412192.76978417265
109,0,2101,1,2009,2022,230.0,25.0,71,0,1,0.0,108.0,3213067.0,0,0.3333333333333333,4.75,16.286,devinejen,1,3778.418252390419,412170.76978417265
110,0,11865,1,2009,2022,300.0,191413.0,639,1873,9,0.0,20.0,122020.0,0,0.7777777777777778,8.333,28.571,JesusLuz1,1,3708.418252390419,220782.76978417265
111,0,1380,1,2017,2022,129.0,149.0,1532,2,1,0.0,88.0,3813031.0,0,0.0,7.333,25.143,_hasx_,1,3879.418252390419,412046.76978417265
112,0,212,1,2015,2022,229.0,184.0,325,6,1,0.0,96.0,1223500.0,0,0.9333333333333332,8.292,28.429,Jaymie_Santiago,1,3779.418252390419,412011.76978417265
